,DEVICE_ID,READINGS,AVG_LAG_S,ON_TIME_PCT,LAST_SEEN
0,Y3BhcVxhGvMaE9KTp-A_x,1,0,100,2026-07-11T21:41:17.000
1,kGN1xmCnCk0jKNMhTTD7k,1,0,100,2026-07-11T21:40:47.000
2,RrWrxl37TbxVc_0ZvCeX9,1,0,100,2026-07-11T21:45:47.000
3,YOCvtaS4H3c8Tdu55DKGY,1,0,100,2026-07-11T21:40:47.000
4,4gmL-pEEfoIAkYLne8lKu,1,0,100,2026-07-11T21:45:17.000
5,n0L4-6pvPnleXftzO4A1N,1,0,100,2026-07-11T21:43:47.000
6,bvQ-AIkI8PE-3g9d0cMp7,1,0,100,2026-07-11T21:45:17.000
7,n7qwoMyVNS5Gs2cfySmYE,1,0,100,2026-07-11T21:39:47.000
8,h6EQtQztHqA1TCk4oLepT,1,0,100,2026-07-11T21:45:17.000
9,b9sQSHM86rBn1ZPsnc1VE,1,0,100,2026-07-11T21:42:17.000
10,TibGshsa4XruwXqDPpHZ8,1,0,100,2026-07-11T21:43:17.000
11,-_9gy265kpW1qEgXbfAgT,1,0,100,2026-07-11T21:43:47.000
12,h55WbBnzltfDV-ulWLksN,1,0,100,2026-07-11T21:45:47.000
13,U9BpQcRbqyy5YEtqa-evM,1,0,100,2026-07-11T21:40:47.000
14,9RrNKiwQm3ZvO-M398XNn,1,0,100,2026-07-11T21:43:17.000
15,pwmz475Bvdk-mGJut2vHB,1,0,100,2026-07-11T21:40:17.000
16,UWc1vmPLVxX8Fa1WSXNUh,1,0,100,2026-07-11T21:43:47.000
17,8JF7uvA4lJocIC1_3tdAf,1,0,100,2026-07-11T21:45:17.000
18,56NRatCYYDVRL70TEPiBq,1,0,100,2026-07-11T21:44:17.000
19,BxsEtNDZ_h2ZHcRV2Duy9,1,0,100,2026-07-11T21:45:47.000
20,MeJjg6FB1_duIJTp0OVkT,1,0,100,2026-07-11T21:41:47.000
21,QlLf5QPW06NFtsJnLP483,1,0,100,2026-07-11T21:41:17.000
22,n7jHv_9FZ0M0VPirunuFe,1,0,100,2026-07-11T21:44:47.000
23,jsiAl5li4LdifJdAbbWEE,1,0,100,2026-07-11T21:44:47.000
24,s8VMeoA0BkeevtNKEtuWf,1,0,100,2026-07-11T21:44:47.000
25,24gxa1c8zt58jFZ-ebaWF,1,0,100,2026-07-11T21:45:47.000
26,nyk-fAT2vFXPDT8QJzxAS,1,0,100,2026-07-11T21:46:17.000
27,p05S7QRR3QF5u22Tm4VXe,1,0,100,2026-07-11T21:41:47.000
28,D8rF_wnHwxUnVHrUnI7Jb,1,0,100,2026-07-11T21:43:47.000
29,3HHpQCihIMD3R47ekyav-,1,0,100,2026-07-11T21:39:47.000
30,eq4XDscwhQXlzQviIVgAb,1,0,100,2026-07-11T21:44:17.000
31,0oWvVaeEjujT2U30yOof9,1,0,100,2026-07-11T21:42:47.000
32,9aurSOKagMBbqQV5gXMpY,1,0,100,2026-07-11T21:39:47.000
33,-87Ne4hkNJAVrAEkYKz-_,1,0,100,2026-07-11T21:42:17.000
34,IboGBRfPhBfTMpQLGK9eg,1,0,100,2026-07-11T21:46:17.000
35,mgcTITGOSblLlvu_0RD-T,1,0,100,2026-07-11T21:40:17.000
36,c34MoLtSO6NVj2ZxZatZZ,1,0,100,2026-07-11T21:44:17.000
37,qaZz-ig5aPO8RctNCSBmS,1,0,100,2026-07-11T21:45:17.000
38,kIv31cCpkEpwugv9lHEhv,1,0,100,2026-07-11T21:46:17.000
39,1jRMydxli3HKG7NaawDww,1,0,100,2026-07-11T21:46:17.000
40,febINWqHDAms1XSHf2BY1,1,0,100,2026-07-11T21:44:47.000
